City,x,y
Aberdeen,-232.4118,6343.6389
Amsterdam,544.3551,5812.8036
Andorra la Vella,168.9198,4718.1993
Ankara,3647.4267,4432.6074
Astana,7933.2144,5678.8155
Athens,2633.7525,2633.7525
Baku,5535.2481,444.5023
Barcelona,240.7146,4594.0014
Belfast,-658.2411,6060.3003
Belgrade,2271.1932,4974.1875
Bern,826.6614,5211.228
Berlin,1487.955,5829.72
Birmingham,-209.8344,5825.9682
Bratislava,1898.9547,5344.4946
Bristol,-287.2569,5711.4495
Brussels,483.6492,5644.0836
Bucharest,2897.3775,4931.3748
Budapest,2113.4622,5272.2669
Cardiff,-351.6591,5714.6907
Chisinau,3203.8818,5218.1655
Cluj-Napoca,2622.2196,5191.6032
Copenhagen,1395.0813,6180.0471
Cork,-940.7916,5760.7335
Douglas,-497.9571,6010.9053
Dublin,-694.8933,5921.8278
Edinburgh,-353.9013,6210.8163
Frankfurt,963.7131,5562.3099
Geneva,681.8952,5128.6884
Gibraltar,-594.2496,4011.6288
Glasgow,-471.9498,6200.9262
Hague,477.3777,5779.8255
Hamburg,1108.5792,5943.9168
Helsinki,2768.1624,6678.8589
Iasi,3063.7554,5234.5935
Inverness,-468.9417,6380.0358
Istanbul,3216.6024,4551.9102
Kyiv,3388.0974,5599.9611
Lisbon,-1014.4623,4264.8753
Ljubjana,1610.1438,5112.3159
London,-14.1636,5717.2992
Luxembourg City,680.6409,5506.8876
Lyon,536.7627,5079.804
Madrid,-411.1218,4486.2648
Manchester,-248.9286,5936.3688
Marseille,596.0478,4805.9115
Milan,1020.0900,5046.5262
Minsk,303.1490,5982.9666
Munich,1285.6020,5342.9961
Monaco,824.1306,4854.9624
Moscow,4175.5203,6188.8938
Nice,806.082,4851.8322
Nicosia,3705.4353,3905.6016
Nuuk,-5742.8403,7123.3473
Oslo,1193.4942,6650.4429
Paris,261.0942,5423.0826
Podgorica,2137.7934,4709.7744
Prague,1602.5958,5558.3805
Pristina,2349.3705,4735.5819
Reykjavik,-2435.6286,7120.2726
Riga,2675.7216,6323.4147
Rome,1387.1004,4651.2108
San Marino,1381.6503,4876.8516
Sarajevo,2043.8541,4868.0493
Sevastopol,3721.3194,4952.4426
Skopje,2378.2194,4661.7891
Sofia,2588.7309,4739.4447
Stockholm,2005.6146,6585.5523
St Petersburg,3370.0599,6652.3521
Swansea,-437.7396,5729.9754
Tallinn,2747.6496,6597.507
Tbilisti,4975.8081,4630.3761
Thessaloniki,2546.8284,4511.0511
Timisoara,2354.1657,5078.1279
Tirana,2199.8757,4587.3525
Torshavn,-751.9251,6883.1877
Truro,-560.661,5579.2152
Vaduz,1056.8199,5232.651
Valencia,-41.7693,4381.1589
Valetta,1611.0651,3984.8112
Vatican City,1382.3274,4651.2219
Vienna,1817.4918,5351.1102
Vilnius,2806.0467,6070.2792
Warsaw,2332.3542,5797.4967
Yerevan,4941.1872,4460.7792
Zagreb,1773.9909,5085.465
Zurich,948.1287,5258.8359
